nom,procuration,etat,date
étaient présents,NA,présent,2021-02-08
paul le bihan,NA,présent,2021-02-08
eric robert,NA,présent,2021-02-08
françoise le men,NA,présent,2021-02-08
cédric seureau,NA,présent,2021-02-08
bernadette corvisier,NA,présent,2021-02-08
marc nedelec,NA,présent,2021-02-08
trefina kerrain,NA,présent,2021-02-08
patrice kervaon,NA,présent,2021-02-08
gwénaëlle lair,NA,présent,2021-02-08
michel diverchy,NA,présent,2021-02-08
hervé latimier,NA,présent,2021-02-08
pierre gouzi,NA,présent,2021-02-08
yvon briand,NA,présent,2021-02-08
marie christine barac'h,NA,présent,2021-02-08
sonya nicolas,NA,présent,2021-02-08
christian meheust,NA,présent,2021-02-08
yves nedellec,NA,présent,2021-02-08
marie-annick guillou,NA,présent,2021-02-08
françoise barbier,NA,présent,2021-02-08
anne-claire even,NA,présent,2021-02-08
christine tanguy,NA,présent,2021-02-08
myriam dubourg,NA,présent,2021-02-08
fabrice louedec,NA,présent,2021-02-08
nolwenn henry,NA,présent,2021-02-08
carine hue,NA,présent,2021-02-08
fabien canevet,NA,présent,2021-02-08
christophe kergoat,NA,présent,2021-02-08
gaël cornec,NA,présent,2021-02-08
catherine bridet,NA,présent,2021-02-08
danielle marec,NA,présent,2021-02-08
jean- yves callac,NA,présent,2021-02-08
anne le guen,NA,présent,2021-02-08
procurations,NA,procuration,2021-02-08
louison noël,gaël cornec,procuration,2021-02-08
