nom,procuration,etat,date
étaient présents,NA,présent,2020-12-14
paul le bihan,NA,présent,2020-12-14
eric robert,NA,présent,2020-12-14
françoise le men,NA,présent,2020-12-14
cédric seureau,NA,présent,2020-12-14
bernadette corvisier,NA,présent,2020-12-14
marc nedelec,NA,présent,2020-12-14
trefina kerrain,NA,présent,2020-12-14
patrice kervaon,NA,présent,2020-12-14
gwénaëlle lair,NA,présent,2020-12-14
michel diverchy,NA,présent,2020-12-14
hervé latimier,NA,présent,2020-12-14
pierre gouzi,NA,présent,2020-12-14
yvon briand,NA,présent,2020-12-14
marie christine barac'h,NA,présent,2020-12-14
sonya nicolas,NA,présent,2020-12-14
christian meheust,NA,présent,2020-12-14
yves nedellec,NA,présent,2020-12-14
marie-annick guillou,NA,présent,2020-12-14
françoise barbier,NA,présent,2020-12-14
anne-claire even,NA,présent,2020-12-14
christine tanguy,NA,présent,2020-12-14
myriam dubourg,NA,présent,2020-12-14
fabrice louedec,NA,présent,2020-12-14
nolwenn henry,NA,présent,2020-12-14
carine hue,NA,présent,2020-12-14
gaël cornec,NA,présent,2020-12-14
catherine bridet,NA,présent,2020-12-14
louison noël,NA,présent,2020-12-14
danielle marec,NA,présent,2020-12-14
jean-yves callac,NA,présent,2020-12-14
anne le guen,NA,présent,2020-12-14
étaient absents,NA,absent,2020-12-14
fabien canevet,NA,absent,2020-12-14
christophe kergoat,NA,absent,2020-12-14
