nom,procuration,etat,date
étaient présents,NA,présent,2020-11-16
paul le bihan,NA,présent,2020-11-16
eric robert,NA,présent,2020-11-16
françoise le men,NA,présent,2020-11-16
cédric seureau,NA,présent,2020-11-16
bernadette corvisier,NA,présent,2020-11-16
marc nedelec,NA,présent,2020-11-16
trefina kerrain,NA,présent,2020-11-16
patrice kervaon,NA,présent,2020-11-16
gwénaëlle lair,NA,présent,2020-11-16
michel diverchy,NA,présent,2020-11-16
hervé latimier,NA,présent,2020-11-16
pierre gouzi,NA,présent,2020-11-16
yvon briand,NA,présent,2020-11-16
marie christine barac'h,NA,présent,2020-11-16
sonya nicolas,NA,présent,2020-11-16
christian meheust,NA,présent,2020-11-16
yves nedellec,NA,présent,2020-11-16
marie-annick guillou,NA,présent,2020-11-16
françoise barbier,NA,présent,2020-11-16
anne-claire even,NA,présent,2020-11-16
christine tanguy,NA,présent,2020-11-16
myriam dubourg,NA,présent,2020-11-16
fabrice louedec,NA,présent,2020-11-16
nolwenn henry,NA,présent,2020-11-16
carine hue,NA,présent,2020-11-16
christophe kergoat,NA,présent,2020-11-16
gaël cornec,NA,présent,2020-11-16
catherine bridet,NA,présent,2020-11-16
louison noël,NA,présent,2020-11-16
danielle marec,NA,présent,2020-11-16
jean- yves callac,NA,présent,2020-11-16
anne le guen,NA,présent,2020-11-16
était absent,NA,absent,2020-11-16
fabien canevet,NA,absent,2020-11-16
