nom,procuration,etat,date
etaient présents,NA,présent,2020-05-25
paul le bihan,NA,présent,2020-05-25
françoise le men,NA,présent,2020-05-25
christian meheust,NA,présent,2020-05-25
tréfina kerrain,NA,présent,2020-05-25
eric robert,NA,présent,2020-05-25
carine hue,NA,présent,2020-05-25
cédric seureau,NA,présent,2020-05-25
bernadette corvisier,NA,présent,2020-05-25
hervé latimier,NA,présent,2020-05-25
sonya nicolas,NA,présent,2020-05-25
yves nedellec,NA,présent,2020-05-25
françoise barbier,NA,présent,2020-05-25
marie annick guillou,NA,présent,2020-05-25
marc nedelec,NA,présent,2020-05-25
anne-claire even,NA,présent,2020-05-25
fabien canevet,NA,présent,2020-05-25
nolwenn henry,NA,présent,2020-05-25
yvon briand,NA,présent,2020-05-25
gwénaëlle lair,NA,présent,2020-05-25
michel diverchy,NA,présent,2020-05-25
marie christine barac’h,NA,présent,2020-05-25
pierre gouzi,NA,présent,2020-05-25
christophe kergoat,NA,présent,2020-05-25
christine tanguy,NA,présent,2020-05-25
fabrice louedec,NA,présent,2020-05-25
gaël cornec,NA,présent,2020-05-25
catherine bridet,NA,présent,2020-05-25
louison noel,NA,présent,2020-05-25
danielle marec,NA,présent,2020-05-25
jean-yves callac,NA,présent,2020-05-25
anne le guen,NA,présent,2020-05-25
etaient excusés,NA,procuration,2020-05-25
patrice kervaon,paul le bihan,procuration,2020-05-25
myriam dubourg,eric robert,procuration,2020-05-25
