nom,procuration,etat,date
étaient présents,NA,présent,2021-05-28
paul le bihan,NA,présent,2021-05-28
eric robert,NA,présent,2021-05-28
françoise le men,NA,présent,2021-05-28
cédric seureau,NA,présent,2021-05-28
bernadette corvisier,NA,présent,2021-05-28
marc nedelec,NA,présent,2021-05-28
trefina kerrain,NA,présent,2021-05-28
patrice kervaon,NA,présent,2021-05-28
gwénaëlle lair,NA,présent,2021-05-28
michel diverchy,NA,présent,2021-05-28
hervé latimier,NA,présent,2021-05-28
pierre gouzi,NA,présent,2021-05-28
yvon briand,NA,présent,2021-05-28
marie christine barac'h,NA,présent,2021-05-28
sonya nicolas,NA,présent,2021-05-28
christian meheust,NA,présent,2021-05-28
yves nedellec,NA,présent,2021-05-28
marie-annick guillou,NA,présent,2021-05-28
françoise barbier,NA,présent,2021-05-28
anne-claire even,NA,présent,2021-05-28
christine tanguy,NA,présent,2021-05-28
myriam dubourg,NA,présent,2021-05-28
fabrice louedec,NA,présent,2021-05-28
nolwenn henry,NA,présent,2021-05-28
carine hue,NA,présent,2021-05-28
fabien canevet,NA,présent,2021-05-28
christophe kergoat,NA,présent,2021-05-28
gaël cornec,NA,présent,2021-05-28
catherine bridet,NA,présent,2021-05-28
louison noël,NA,présent,2021-05-28
danielle marec,NA,présent,2021-05-28
jean-yves callac,NA,présent,2021-05-28
anne le guen,NA,présent,2021-05-28
