nom,procuration,etat,date
paul le bihan,NA,présent,2021-03-26
françoise le men,NA,présent,2021-03-26
cédric seureau,NA,présent,2021-03-26
bernadette corvisier,NA,présent,2021-03-26
marc nedelec,NA,présent,2021-03-26
trefina kerrain,NA,présent,2021-03-26
patrice kervaon,NA,présent,2021-03-26
gwénaëlle lair,NA,présent,2021-03-26
michel diverchy,NA,présent,2021-03-26
hervé latimier,NA,présent,2021-03-26
pierre gouzi,NA,présent,2021-03-26
yvon briand,NA,présent,2021-03-26
marie christine barac'h,NA,présent,2021-03-26
christian meheust,NA,présent,2021-03-26
yves nedellec,NA,présent,2021-03-26
marie-annick guillou,NA,présent,2021-03-26
françoise barbier,NA,présent,2021-03-26
anne-claire even,NA,présent,2021-03-26
christine tanguy,NA,présent,2021-03-26
myriam dubourg,NA,présent,2021-03-26
fabrice louedec,NA,présent,2021-03-26
nolwenn henry,NA,présent,2021-03-26
carine hue,NA,présent,2021-03-26
fabien canevet,NA,présent,2021-03-26
christophe kergoat,NA,présent,2021-03-26
catherine bridet,NA,présent,2021-03-26
danielle marec,NA,présent,2021-03-26
jean-yves callac,NA,présent,2021-03-26
anne le guen,NA,présent,2021-03-26
procurations,NA,procuration,2021-03-26
sonya nicolas,patrice kervaon,procuration,2021-03-26
eric robert,NA,absent,2021-03-26
gaël cornec,NA,absent,2021-03-26
louison noël,NA,absent,2021-03-26
