nom,procuration,etat,date
paul le bihan,NA,présent,2021-09-27
eric robert,NA,présent,2021-09-27
françoise le men,NA,présent,2021-09-27
cédric seureau,NA,présent,2021-09-27
bernadette corvisier,NA,présent,2021-09-27
marc nedelec,NA,présent,2021-09-27
trefina kerrain,NA,présent,2021-09-27
gwénaëlle lair,NA,présent,2021-09-27
michel diverchy,NA,présent,2021-09-27
hervé latimier,NA,présent,2021-09-27
pierre gouzi,NA,présent,2021-09-27
yvon briand,NA,présent,2021-09-27
yves nedellec,NA,présent,2021-09-27
françoise barbier,NA,présent,2021-09-27
anne-claire even,NA,présent,2021-09-27
christine tanguy,NA,présent,2021-09-27
myriam dubourg,NA,présent,2021-09-27
fabrice louedec,NA,présent,2021-09-27
carine hue,NA,présent,2021-09-27
fabien canevet,NA,présent,2021-09-27
christophe kergoat,NA,présent,2021-09-27
catherine bridet,NA,présent,2021-09-27
louison noël,NA,présent,2021-09-27
danielle marec,NA,présent,2021-09-27
gérard falezan,NA,présent,2021-09-27
marie christine barac'h,bernadette corvisier,procuration,2021-09-27
sonya nicolas,eric robert,procuration,2021-09-27
christian meheust,françoise barbier,procuration,2021-09-27
patrice kervaon,NA,absent,2021-09-27
marie-annick guillou,NA,absent,2021-09-27
nolwenn henry,NA,absent,2021-09-27
jean-yves callac,NA,absent,2021-09-27
anne le guen,NA,absent,2021-09-27
