nom,procuration,etat,date
paul le bihan,NA,présent,2020-02-07
christian hunaut,NA,présent,2020-02-07
patrice kervaon,NA,présent,2020-02-07
delphine charlet,NA,présent,2020-02-07
eric robert,NA,présent,2020-02-07
catherine besnard,NA,présent,2020-02-07
louison noël,NA,présent,2020-02-07
marc nedelec,NA,présent,2020-02-07
jean-paul letouze,NA,présent,2020-02-07
jakez gicquel,NA,présent,2020-02-07
pierre gouzi,NA,présent,2020-02-07
fabien canevet,NA,présent,2020-02-07
christian meheust,NA,présent,2020-02-07
bernadette corvisier,NA,présent,2020-02-07
thérèse hervé,NA,présent,2020-02-07
christine bonnamour,NA,présent,2020-02-07
yvon briand,NA,présent,2020-02-07
fatima mohammedi,NA,présent,2020-02-07
sonya nicolas,NA,présent,2020-02-07
marie christine barac'h,NA,présent,2020-02-07
danielle marec,NA,présent,2020-02-07
jean-rené prat,NA,présent,2020-02-07
henri glaziou,NA,présent,2020-02-07
cédric seureau,NA,présent,2020-02-07
françoise le men,NA,présent,2020-02-07
anne-claire even,NA,présent,2020-02-07
jean-yves callac,NA,présent,2020-02-07
claude poinsu,NA,présent,2020-02-07
claudine fejean,marc nedelec,procuration,2020-02-07
rozenn coadalen,yvon briand,procuration,2020-02-07
christine tanguy,bernadette corvisier,procuration,2020-02-07
nadine omnes,NA,absent,2020-02-07
yann le tensorer ville de lannion                        conseil municipal du 7 février 2020                         1,NA,absent,2020-02-07
