nom,procuration,etat,date
paul le bihan,NA,présent,2020-09-28
eric robert,NA,présent,2020-09-28
françoise le men,NA,présent,2020-09-28
cédric seureau,NA,présent,2020-09-28
bernadette corvisier,NA,présent,2020-09-28
marc nedelec,NA,présent,2020-09-28
trefina kerrain,NA,présent,2020-09-28
patrice kervaon,NA,présent,2020-09-28
gwénaëlle lair,NA,présent,2020-09-28
michel diverchy,NA,présent,2020-09-28
hervé latimier,NA,présent,2020-09-28
pierre gouzi,NA,présent,2020-09-28
yvon briand,NA,présent,2020-09-28
marie christine barac'h,NA,présent,2020-09-28
yves nedellec,NA,présent,2020-09-28
marie- annick guillou,NA,présent,2020-09-28
françoise barbier,NA,présent,2020-09-28
anne-claire even,NA,présent,2020-09-28
christine tanguy,NA,présent,2020-09-28
myriam dubourg,NA,présent,2020-09-28
fabrice louedec,NA,présent,2020-09-28
nolwenn henry,NA,présent,2020-09-28
carine hue,NA,présent,2020-09-28
christophe kergoat,NA,présent,2020-09-28
gaël cornec,NA,présent,2020-09-28
catherine bridet,NA,présent,2020-09-28
danielle marec,NA,présent,2020-09-28
jean-yves callac,NA,présent,2020-09-28
anne le guen,NA,présent,2020-09-28
sonya nicolas,yvon briand,procuration,2020-09-28
christian meheust,françoise barbier,procuration,2020-09-28
fabien canevet,eric robert,procuration,2020-09-28
louison noël,catherine bridet,procuration,2020-09-28
