nom,procuration,etat,date
paul le bihan,NA,présent,2021-11-08
eric robert,NA,présent,2021-11-08
françoise le men,NA,présent,2021-11-08
cédric seureau,NA,présent,2021-11-08
bernadette corvisier,NA,présent,2021-11-08
marc nedelec,NA,présent,2021-11-08
trefina kerrain,NA,présent,2021-11-08
patrice kervaon,NA,présent,2021-11-08
gwénaëlle lair,NA,présent,2021-11-08
michel diverchy,NA,présent,2021-11-08
pierre gouzi,NA,présent,2021-11-08
yvon briand,NA,présent,2021-11-08
marie christine barac'h,NA,présent,2021-11-08
sonya nicolas,NA,présent,2021-11-08
christian meheust,NA,présent,2021-11-08
yves nedellec,NA,présent,2021-11-08
marie-annick guillou,NA,présent,2021-11-08
françoise barbier,NA,présent,2021-11-08
anne-claire even,NA,présent,2021-11-08
fabrice louedec,NA,présent,2021-11-08
nolwenn henry,NA,présent,2021-11-08
carine hue,NA,présent,2021-11-08
fabien canevet,NA,présent,2021-11-08
christophe kergoat,NA,présent,2021-11-08
catherine bridet,NA,présent,2021-11-08
louison noël,NA,présent,2021-11-08
danielle marec,NA,présent,2021-11-08
jean-yves callac,NA,présent,2021-11-08
anne le guen,NA,présent,2021-11-08
gérard falezan,NA,présent,2021-11-08
hervé latimier,trefina kerrain,procuration,2021-11-08
christine tanguy,bernadette corvisier,procuration,2021-11-08
myriam dubourg,gwénaëlle lair,procuration,2021-11-08
